timestamp,label,rssi_AA_BB_CC_11_22_33,rssi_AA_BB_CC_44_55_66,rssi_AA_BB_CC_77_88_99,rssi_AA_BB_CC_AA_BB_CC
1772952605.451108,1,-44,-64,-75,-82
1772952605.9512894,1,-50,-62,-77,-83
1772952606.4517136,1,-48,-64,-77,-81
1772952606.952214,1,-44,-68,-74,-85
1772952607.452857,1,-40,-67,-76,-86
1772952607.9531734,1,-47,-63,-73,-74
1772952608.4533148,1,-37,-63,-70,-81
1772952608.9541647,1,-42,-62,-69,-78
1772952609.4544985,1,-42,-56,-73,-73
1772952609.9552972,1,-42,-63,-68,-81
1772952610.4557858,1,-44,-63,-67,-78
1772952610.9559479,1,-46,-59,-66,-78
1772952611.4564672,1,-50,-56,-71,-73
1772952611.956965,1,-49,-63,-66,-87
1772952612.4572692,1,-48,-58,-60,-79
1772952612.957634,1,-48,-47,-65,-83
1772952613.457809,1,-47,-58,-66,-78
1772952613.9584503,1,-44,-57,-70,-80
1772952614.4589508,1,-45,-59,-68,-83
1772952614.959906,1,-49,-60,-70,-84
1772952615.460369,1,-48,-62,-69,-85
1772952615.9609566,1,-42,-59,-75,-85
1772952616.46124,1,-47,-61,-72,-89
1772952616.9618948,1,-50,-64,-64,-78
1772952617.462143,1,-47,-66,-67,-86
1772952617.9625788,1,-44,-65,-66,-83
1772952618.4629796,1,-42,-60,-71,-87
1772952618.9633465,1,-49,-61,-65,-70
1772952619.4637032,1,-43,-62,-71,-78
1772952619.9640691,1,-37,-60,-71,-81
1772952620.464909,1,-45,-56,-70,-76
1772952620.9653883,1,-48,-61,-72,-82
1772952621.465734,1,-47,-63,-82,-84
1772952621.9660742,1,-43,-61,-74,-84
1772952622.466517,1,-46,-61,-72,-78
1772952622.9671154,1,-42,-63,-71,-80
1772952623.4673126,1,-42,-64,-66,-79
1772952623.9679544,1,-45,-63,-66,-79
1772952624.4678981,1,-48,-62,-72,-82
1772952624.9683294,1,-46,-63,-75,-81
1772952625.4684632,1,-42,-64,-75,-85
1772952625.9691553,1,-47,-60,-84,-75
1772952626.4696426,1,-39,-65,-80,-76
1772952626.9700375,1,-43,-59,-79,-83
1772952627.4709764,1,-38,-59,-72,-79
1772952627.9711964,1,-44,-62,-75,-79
1772952628.4718888,1,-45,-60,-77,-80
1772952628.9726684,1,-42,-56,-80,-81
1772952629.4729507,1,-41,-60,-78,-79
1772952629.9734952,1,-36,-59,-79,-80
1772952630.4739485,1,-44,-61,-76,-80
1772952630.9743917,1,-49,-68,-78,-79
1772952631.4747105,1,-44,-62,-76,-79
1772952631.9751773,1,-42,-63,-72,-72
1772952632.4756947,1,-49,-60,-69,-77
1772952632.9760828,1,-45,-58,-65,-77
1772952633.4764805,1,-48,-63,-73,-72
1772952633.9771607,1,-38,-66,-71,-84
1772952634.4779909,1,-49,-58,-66,-78
1772952634.9782715,1,-44,-61,-80,-81
