timestamp,label,rssi_AA_BB_CC_11_22_33,rssi_AA_BB_CC_44_55_66,rssi_AA_BB_CC_77_88_99,rssi_AA_BB_CC_AA_BB_CC
1772952238.6958988,1,-47,-64,-72,-85
1772952239.1965673,1,-42,-64,-75,-79
1772952239.6967614,1,-44,-64,-75,-83
1772952240.1974428,1,-40,-68,-73,-78
1772952240.6977022,1,-44,-67,-75,-78
1772952241.19847,1,-46,-65,-72,-77
1772952241.6989868,1,-43,-65,-77,-77
1772952242.1993716,1,-44,-65,-71,-77
1772952242.6995707,1,-45,-65,-69,-76
1772952243.2003896,1,-45,-62,-74,-73
1772952243.7009263,1,-42,-64,-72,-77
1772952244.200998,1,-44,-62,-74,-81
1772952244.7013288,1,-48,-62,-81,-79
1772952245.201786,1,-41,-56,-74,-83
1772952245.7021468,1,-42,-58,-78,-84
1772952246.2028148,1,-38,-66,-76,-89
1772952246.703409,1,-40,-61,-81,-82
1772952247.2042303,1,-39,-61,-81,-82
1772952247.7043712,1,-49,-64,-75,-81
1772952248.2048922,1,-47,-62,-73,-80
1772952248.7055852,1,-43,-63,-72,-87
1772952249.2060204,1,-44,-66,-75,-87
1772952249.7063098,1,-42,-59,-73,-86
1772952250.2067568,1,-44,-65,-81,-85
1772952250.7068133,1,-42,-70,-77,-79
1772952251.207163,1,-44,-73,-78,-88
1772952251.7077239,1,-43,-72,-74,-82
1772952252.20815,1,-45,-74,-77,-83
1772952252.7086928,1,-47,-69,-76,-82
1772952253.2090595,1,-34,-69,-71,-77
1772952253.7092905,1,-47,-67,-71,-88
1772952254.210045,1,-40,-61,-75,-82
1772952254.7108555,1,-35,-75,-73,-79
1772952255.2115104,1,-44,-65,-79,-73
1772952255.7121344,1,-40,-69,-78,-82
1772952256.2126946,1,-40,-65,-82,-80
1772952256.713089,1,-41,-71,-86,-84
1772952257.213831,1,-44,-71,-82,-85
1772952257.7140422,1,-48,-76,-77,-75
1772952258.2147315,1,-45,-76,-76,-77
