timestamp,label,rssi_AA_BB_CC_11_22_33,rssi_AA_BB_CC_44_55_66,rssi_AA_BB_CC_77_88_99,rssi_AA_BB_CC_AA_BB_CC
1772952485.322064,0,-48,-68,-71,-80
1772952485.8228154,0,-48,-70,-71,-80
1772952486.3232334,0,-47,-70,-69,-80
1772952486.823878,0,-47,-69,-74,-80
1772952487.3244388,0,-44,-68,-76,-80
1772952487.8246896,0,-44,-64,-72,-81
1772952488.325245,0,-44,-65,-72,-82
1772952488.8259206,0,-45,-64,-73,-83
1772952489.3263772,0,-44,-66,-68,-83
1772952489.8268738,0,-41,-66,-65,-83
1772952490.3273494,0,-43,-68,-67,-81
1772952490.827684,0,-42,-68,-68,-81
1772952491.3282413,0,-40,-65,-68,-82
1772952491.828853,0,-42,-65,-68,-83
1772952492.3295157,0,-44,-67,-65,-83
1772952492.8302763,0,-44,-63,-67,-81
1772952493.3308961,0,-41,-64,-64,-80
1772952493.831412,0,-42,-64,-68,-81
1772952494.331787,0,-43,-66,-68,-81
1772952494.832423,0,-45,-67,-70,-80
1772952495.3327096,0,-45,-66,-70,-82
1772952495.8329728,0,-47,-62,-71,-83
1772952496.3334994,0,-46,-60,-72,-83
1772952496.8340533,0,-46,-59,-76,-83
1772952497.3344138,0,-47,-59,-75,-84
1772952497.834693,0,-47,-58,-76,-80
1772952498.3353665,0,-48,-61,-77,-78
1772952498.8357055,0,-46,-62,-76,-77
1772952499.3366988,0,-45,-61,-73,-77
1772952499.8371413,0,-43,-62,-72,-77
1772952500.3376272,0,-45,-65,-73,-75
1772952500.8379283,0,-47,-65,-74,-72
1772952501.3383763,0,-48,-67,-77,-75
1772952501.8390098,0,-48,-61,-74,-75
1772952502.339705,0,-49,-61,-71,-78
1772952502.840464,0,-48,-64,-71,-82
1772952503.3408716,0,-45,-62,-72,-80
1772952503.841572,0,-46,-63,-73,-77
1772952504.3418949,0,-49,-64,-75,-77
1772952504.8424203,0,-49,-66,-77,-81
1772952505.342759,0,-47,-65,-75,-80
1772952505.8434458,0,-49,-65,-75,-77
1772952506.3438275,0,-49,-65,-73,-80
1772952506.844379,0,-49,-67,-74,-77
1772952507.3446438,0,-50,-66,-72,-76
1772952507.845033,0,-51,-66,-70,-79
1772952508.3456173,0,-49,-65,-71,-78
1772952508.8458333,0,-45,-66,-71,-80
1772952509.3462238,0,-43,-68,-69,-79
1772952509.8466218,0,-42,-66,-68,-82
1772952510.3472517,0,-42,-67,-66,-82
1772952510.8477244,0,-43,-69,-66,-82
1772952511.348297,0,-46,-69,-69,-83
1772952511.848431,0,-45,-69,-69,-84
1772952512.348629,0,-44,-69,-71,-85
1772952512.8492806,0,-41,-68,-73,-86
1772952513.3495107,0,-44,-66,-71,-82
1772952513.8500788,0,-43,-68,-73,-82
1772952514.350117,0,-41,-65,-77,-81
1772952514.8504963,0,-42,-68,-74,-82
