timestamp,label,rssi_AA_BB_CC_11_22_33,rssi_AA_BB_CC_44_55_66,rssi_AA_BB_CC_77_88_99,rssi_AA_BB_CC_AA_BB_CC
1772952178.6300857,0,-47,-65,-72,-78
1772952179.1304061,0,-47,-64,-75,-79
1772952179.6310878,0,-45,-64,-75,-78
1772952180.131628,0,-45,-63,-75,-80
1772952180.6325264,0,-48,-62,-74,-80
1772952181.1326551,0,-46,-62,-74,-81
1772952181.6330295,0,-44,-64,-76,-80
1772952182.133673,0,-43,-65,-74,-78
1772952182.6343985,0,-47,-67,-76,-80
1772952183.1345742,0,-48,-69,-74,-77
1772952183.6351645,0,-50,-69,-73,-77
1772952184.1355567,0,-51,-70,-72,-76
1772952184.6361961,0,-53,-70,-74,-79
1772952185.1366198,0,-54,-71,-74,-83
1772952185.6373012,0,-50,-68,-76,-82
1772952186.137958,0,-48,-66,-75,-85
1772952186.6379888,0,-43,-63,-71,-84
1772952187.1391063,0,-45,-64,-71,-84
1772952187.639504,0,-45,-64,-70,-82
1772952188.1398075,0,-48,-66,-69,-84
1772952188.6402268,0,-48,-66,-70,-83
1772952189.1406648,0,-45,-68,-69,-86
1772952189.6412144,0,-47,-69,-70,-84
1772952190.1419635,0,-46,-71,-71,-82
1772952190.6422358,0,-48,-70,-74,-80
1772952191.1425087,0,-46,-68,-73,-82
1772952191.6431236,0,-45,-67,-73,-82
1772952192.1435602,0,-44,-66,-71,-80
1772952192.6441438,0,-46,-67,-73,-78
1772952193.144874,0,-49,-67,-72,-81
1772952193.6450467,0,-47,-66,-72,-80
1772952194.1458101,0,-46,-69,-71,-78
1772952194.6462326,0,-43,-67,-71,-76
1772952195.1465569,0,-45,-64,-71,-71
1772952195.6468256,0,-41,-63,-70,-73
1772952196.1474025,0,-40,-67,-71,-73
1772952196.6477323,0,-40,-64,-70,-76
1772952197.1485004,0,-40,-70,-72,-77
1772952197.649091,0,-42,-70,-74,-78
1772952198.1496723,0,-45,-68,-74,-78
