timestamp,label,rssi_AA_BB_CC_11_22_33,rssi_AA_BB_CC_44_55_66,rssi_AA_BB_CC_77_88_99,rssi_AA_BB_CC_AA_BB_CC
1772952218.6750515,0,-46,-65,-71,-80
1772952219.1756492,0,-47,-65,-74,-79
1772952219.6762252,0,-48,-64,-72,-78
1772952220.1769142,0,-50,-66,-69,-80
1772952220.677145,0,-50,-62,-68,-83
1772952221.1778235,0,-48,-59,-69,-79
1772952221.678631,0,-48,-61,-71,-79
1772952222.1787956,0,-47,-66,-71,-79
1772952222.6794584,0,-49,-66,-69,-77
1772952223.1798077,0,-48,-65,-71,-74
1772952223.680101,0,-49,-62,-72,-77
1772952224.1804936,0,-49,-65,-74,-74
1772952224.6808758,0,-49,-67,-73,-75
1772952225.181648,0,-49,-67,-74,-74
1772952225.6818025,0,-51,-68,-73,-74
1772952226.1818957,0,-51,-70,-70,-74
1772952226.6823514,0,-51,-67,-71,-77
1772952227.1829934,0,-52,-67,-71,-76
1772952227.6836252,0,-50,-68,-73,-78
1772952228.1839008,0,-51,-70,-73,-77
1772952228.6841502,0,-49,-67,-71,-78
1772952229.184588,0,-48,-67,-69,-78
1772952229.6848128,0,-47,-67,-70,-79
1772952230.1851285,0,-46,-67,-71,-82
1772952230.6855276,0,-46,-71,-71,-79
1772952231.185616,0,-45,-69,-72,-79
1772952231.6860533,0,-41,-67,-71,-79
1772952232.1863577,0,-42,-66,-72,-74
1772952232.6865914,0,-41,-66,-71,-73
1772952233.1870475,0,-42,-66,-71,-76
1772952233.687497,0,-44,-66,-72,-77
1772952234.1886244,0,-42,-64,-72,-81
1772952234.6890182,0,-44,-62,-71,-78
1772952235.189419,0,-43,-61,-71,-79
1772952235.6898558,0,-44,-62,-76,-78
1772952236.1906197,0,-44,-62,-74,-77
1772952236.690701,0,-44,-61,-73,-77
1772952237.1910272,0,-43,-62,-77,-76
1772952237.6915164,0,-45,-66,-75,-78
1772952238.1921177,0,-43,-65,-76,-78
