timestamp,label,rssi_AA_BB_CC_11_22_33,rssi_AA_BB_CC_44_55_66,rssi_AA_BB_CC_77_88_99,rssi_AA_BB_CC_AA_BB_CC
1772952278.7424996,1,-48,-66,-71,-78
1772952279.2431822,1,-48,-77,-72,-77
1772952279.7437189,1,-49,-64,-72,-79
1772952280.244214,1,-53,-66,-67,-80
1772952280.7445772,1,-46,-65,-77,-79
1772952281.245172,1,-46,-67,-74,-78
1772952281.7456021,1,-47,-64,-77,-75
1772952282.2462244,1,-45,-59,-75,-77
1772952282.7465184,1,-46,-67,-77,-74
1772952283.2473774,1,-45,-68,-71,-76
1772952283.74789,1,-45,-66,-71,-79
1772952284.2480526,1,-41,-67,-81,-83
1772952284.7484946,1,-47,-66,-75,-78
1772952285.2487621,1,-41,-69,-76,-74
1772952285.7494848,1,-45,-69,-72,-69
1772952286.2500563,1,-45,-67,-71,-76
1772952286.7508624,1,-45,-62,-79,-75
1772952287.2513146,1,-49,-73,-74,-75
1772952287.7519307,1,-51,-67,-73,-79
1772952288.2523315,1,-43,-65,-74,-81
1772952288.75291,1,-42,-67,-72,-77
1772952289.2535264,1,-41,-64,-74,-80
1772952289.7540243,1,-43,-74,-70,-83
1772952290.2547152,1,-46,-67,-70,-85
1772952290.754779,1,-42,-73,-77,-81
1772952291.2551503,1,-39,-66,-71,-84
1772952291.7554445,1,-43,-66,-77,-84
1772952292.2559795,1,-41,-72,-71,-90
1772952292.7565398,1,-38,-69,-74,-78
1772952293.257164,1,-42,-68,-73,-82
1772952293.7576752,1,-43,-68,-66,-81
1772952294.257953,1,-44,-68,-68,-84
1772952294.758615,1,-39,-64,-69,-80
1772952295.259183,1,-41,-64,-72,-78
1772952295.7597578,1,-45,-68,-75,-79
1772952296.25993,1,-41,-67,-74,-81
1772952296.76033,1,-40,-64,-75,-78
1772952297.2611072,1,-37,-64,-69,-84
1772952297.761827,1,-38,-63,-66,-76
1772952298.2621953,1,-37,-64,-76,-81
