timestamp,label,rssi_AA_BB_CC_11_22_33,rssi_AA_BB_CC_44_55_66,rssi_AA_BB_CC_77_88_99,rssi_AA_BB_CC_AA_BB_CC
1772952545.3836737,0,-41,-68,-72,-81
1772952545.8843207,0,-40,-71,-74,-83
1772952546.384714,0,-41,-70,-72,-81
1772952546.885254,0,-42,-68,-69,-81
1772952547.3856554,0,-42,-71,-69,-80
1772952547.8859806,0,-42,-70,-69,-79
1772952548.3866847,0,-45,-72,-67,-81
1772952548.8871732,0,-43,-72,-69,-81
1772952549.387486,0,-47,-71,-73,-80
1772952549.8878002,0,-47,-69,-70,-82
1772952550.388176,0,-51,-72,-70,-79
1772952550.8888054,0,-50,-71,-71,-77
1772952551.3893797,0,-49,-67,-73,-78
1772952551.8900266,0,-50,-68,-72,-79
1772952552.3903098,0,-52,-64,-73,-81
1772952552.8909435,0,-49,-65,-74,-80
1772952553.3912315,0,-49,-67,-74,-82
1772952553.8912926,0,-49,-66,-73,-82
1772952554.391876,0,-49,-64,-74,-78
1772952554.8925855,0,-51,-60,-78,-79
1772952555.3928819,0,-49,-59,-77,-79
1772952555.8932412,0,-49,-59,-77,-80
1772952556.3937378,0,-54,-61,-79,-78
1772952556.894228,0,-50,-63,-80,-82
1772952557.394832,0,-43,-62,-80,-82
1772952557.8952076,0,-40,-59,-79,-83
1772952558.3960314,0,-39,-57,-77,-82
1772952558.8966012,0,-40,-61,-78,-78
1772952559.3973155,0,-39,-59,-79,-78
1772952559.8983524,0,-41,-58,-76,-80
1772952560.398852,0,-41,-57,-76,-78
1772952560.8995214,0,-41,-58,-74,-81
1772952561.3999712,0,-43,-61,-75,-81
1772952561.9004352,0,-46,-62,-72,-80
1772952562.40104,0,-46,-59,-70,-79
1772952562.901639,0,-49,-59,-72,-79
1772952563.4020355,0,-50,-62,-70,-78
1772952563.9023197,0,-52,-62,-68,-77
1772952564.4027972,0,-49,-63,-70,-77
1772952564.903161,0,-51,-63,-70,-77
1772952565.4033554,0,-47,-63,-69,-77
1772952565.9039059,0,-47,-65,-74,-77
1772952566.4045541,0,-46,-65,-73,-78
1772952566.9047852,0,-46,-63,-75,-79
1772952567.4051983,0,-46,-64,-72,-80
1772952567.905619,0,-47,-67,-71,-80
1772952568.4061935,0,-47,-65,-69,-80
1772952568.90677,0,-47,-66,-70,-82
1772952569.4071248,0,-44,-66,-69,-80
1772952569.9076529,0,-46,-65,-67,-81
1772952570.4080348,0,-46,-65,-68,-81
1772952570.9085464,0,-45,-67,-68,-80
1772952571.4087813,0,-44,-62,-69,-82
1772952571.9094117,0,-44,-65,-68,-83
1772952572.4098988,0,-47,-65,-72,-83
1772952572.9107049,0,-49,-65,-75,-84
1772952573.4113016,0,-45,-64,-77,-83
1772952573.9118373,0,-45,-64,-77,-84
1772952574.4121616,0,-48,-64,-77,-84
1772952574.9124706,0,-46,-65,-77,-84
