timestamp,label,rssi_AA_BB_CC_11_22_33,rssi_AA_BB_CC_44_55_66,rssi_AA_BB_CC_77_88_99,rssi_AA_BB_CC_AA_BB_CC
1772952635.4841733,1,-46,-58,-70,-79
1772952635.9849322,1,-44,-69,-72,-74
1772952636.4853027,1,-46,-61,-69,-76
1772952636.985568,1,-47,-59,-74,-78
1772952637.4856474,1,-52,-68,-73,-76
1772952637.9861655,1,-53,-61,-71,-80
1772952638.4866192,1,-52,-62,-74,-75
1772952638.9871008,1,-51,-63,-71,-83
1772952639.488086,1,-47,-66,-67,-78
1772952639.9888055,1,-46,-70,-74,-77
1772952640.4893363,1,-45,-64,-75,-90
1772952640.9907074,1,-52,-63,-75,-81
1772952641.4916253,1,-49,-62,-74,-84
1772952641.9924502,1,-48,-65,-70,-78
1772952642.4935489,1,-46,-65,-66,-76
1772952642.9942634,1,-43,-67,-64,-80
1772952643.4947603,1,-43,-66,-70,-76
1772952643.995153,1,-53,-65,-71,-79
1772952644.496302,1,-46,-71,-70,-77
1772952644.9966502,1,-48,-60,-69,-80
1772952645.4975464,1,-52,-73,-78,-80
1772952645.9982603,1,-48,-70,-74,-83
1772952646.5006757,1,-49,-69,-71,-75
1772952647.0013993,1,-43,-63,-65,-82
1772952647.501707,1,-45,-68,-73,-85
1772952648.0021312,1,-40,-72,-73,-86
1772952648.5024617,1,-43,-64,-74,-81
1772952649.0032141,1,-44,-66,-74,-86
1772952649.5036283,1,-50,-64,-72,-79
1772952650.0039494,1,-50,-66,-72,-81
1772952650.5044134,1,-45,-59,-69,-80
1772952651.004856,1,-42,-61,-78,-81
1772952651.5056543,1,-43,-68,-74,-82
1772952652.0062354,1,-41,-57,-70,-78
1772952652.506658,1,-46,-63,-71,-83
1772952653.0070703,1,-47,-65,-76,-75
1772952653.5075288,1,-47,-70,-83,-75
1772952654.0076303,1,-48,-75,-71,-77
1772952654.5079873,1,-58,-68,-75,-80
1772952655.0080895,1,-50,-67,-76,-82
1772952655.5085108,1,-48,-68,-82,-76
1772952656.009163,1,-46,-68,-74,-76
1772952656.5100257,1,-39,-70,-71,-80
1772952657.0106857,1,-39,-68,-77,-75
1772952657.5112748,1,-53,-68,-70,-81
1772952658.0117068,1,-40,-67,-67,-80
1772952658.5202563,1,-43,-68,-75,-86
1772952659.020305,1,-44,-68,-72,-83
1772952659.5205417,1,-41,-66,-81,-75
1772952660.022372,1,-37,-66,-80,-82
1772952660.523437,1,-39,-66,-79,-79
1772952661.0239332,1,-42,-64,-80,-88
1772952661.524241,1,-41,-62,-78,-79
1772952662.0245903,1,-42,-58,-76,-84
1772952662.5249274,1,-44,-51,-76,-84
1772952663.0253127,1,-49,-57,-75,-84
1772952663.5256734,1,-45,-57,-76,-83
1772952664.0272663,1,-53,-59,-72,-89
1772952664.527958,1,-43,-55,-71,-82
1772952665.0285683,1,-39,-46,-71,-83
